BOROUGH,IS_CENTRAL_LONDON,LONDON_REGION,YEAR,TRANSACTIONS,AVG_PRICE,MEDIAN_PRICE,PREV_AVG_PRICE,PREV_MEDIAN_PRICE,YOY_AVG_CHANGE_GBP,YOY_MEDIAN_CHANGE_GBP,YOY_AVG_CHANGE_PCT,YOY_MEDIAN_CHANGE_PCT,YOY_VOLUME_CHANGE_PCT
Enfield,FALSE,North London,2023,1362,635825,447000,578468,450000,57357,-3000,9.92,-0.67,-23.78
Greenwich,FALSE,South East London,2023,3032,536401,435000,589674,475000,-53273,-40000,-9.03,-8.42,-23.45
Hackney,FALSE,East Central London,2023,151,1141086,943000,5191955,1200000,-4050869,-257000,-78.02,-21.42,96.10
Hackney,FALSE,North London,2023,551,760460,575000,706305,568000,54155,7000,7.67,1.23,-53.07
Hackney,FALSE,East London,2023,1174,706305,568000,1141086,943000,-434781,-375000,-38.10,-39.77,677.48
Hammersmith and Fulham,TRUE,West London,2023,1575,1185628,760000,1128434,910000,57194,-150000,5.07,-16.48,15.64
Hammersmith and Fulham,TRUE,South West London,2023,1362,1128434,910000,1301692,825000,-173258,85000,-13.31,10.30,1.87
Haringey,FALSE,North London,2023,3293,754900,531000,768310,560000,-13410,-29000,-1.75,-5.18,-17.53
Hounslow,FALSE,West London,2023,678,1165283,800000,1101813,865000,63470,-65000,5.76,-7.51,-15.36
Islington,TRUE,East Central London,2023,371,1943949,908000,937173,625000,1006776,283000,107.43,45.28,-85.60
Islington,TRUE,North London,2023,2072,910658,630000,1943949,908000,-1033291,-278000,-53.15,-30.62,458.49
Kensington and Chelsea,TRUE,South West London,2023,1285,2433127,1218045,2289134,1100000,143993,118045,6.29,10.73,55.01
Kensington and Chelsea,TRUE,West London,2023,829,2289134,1100000,2672466,1285000,-383332,-185000,-14.34,-14.40,-24.01
Lambeth,TRUE,South East London,2023,865,774133,582000,693204,540000,80929,42000,11.67,7.78,2.37
Lambeth,TRUE,South West London,2023,3364,750292,545000,774133,582000,-23841,-37000,-3.08,-6.36,288.90
Lewisham,FALSE,South East London,2023,3066,520040,447084,591860,460000,-71820,-12916,-12.13,-2.81,-27.55
Merton,FALSE,South West London,2023,1572,876745,600000,978583,640000,-101838,-40000,-10.41,-6.25,-22.90
Newham,FALSE,East London,2023,2604,566700,425000,594546,435000,-27846,-10000,-4.68,-2.30,-23.19
Redbridge,FALSE,East London,2023,265,550043,458000,596879,470000,-46836,-12000,-7.85,-2.55,-19.45
Richmond upon Thames,FALSE,South West London,2023,461,1230607,965000,1341325,1105000,-110718,-140000,-8.25,-12.67,-22.26
Southwark,TRUE,South East London,2023,3343,780573,550000,866760,552000,-86187,-2000,-9.94,-0.36,-18.88
Tower Hamlets,FALSE,East London,2023,3310,710439,490000,704169,516743,6270,-26743,0.89,-5.18,-35.12
Waltham Forest,FALSE,East London,2023,3081,581581,498200,565197,499995,16384,-1795,2.90,-0.36,-18.79
Wandsworth,FALSE,South West London,2023,5009,878637,659000,939894,702000,-61257,-43000,-6.52,-6.13,-28.68
Westminster,TRUE,West London,2023,1925,3330125,1140000,4044053,1112500,-713928,27500,-17.65,2.47,2306.25
Westminster,TRUE,West Central London,2023,80,4044053,1112500,1942589,900000,2101464,212500,108.18,23.61,-80.54
Westminster,TRUE,North West London,2023,411,1942589,900000,3275034,1400000,-1332445,-500000,-40.68,-35.71,-61.73
Westminster,TRUE,South West London,2023,1074,3275034,1400000,1974979,1084750,1300055,315250,65.83,29.06,82.96
Barnet,FALSE,North London,2024,1609,866636,575000,745903,518000,120733,57000,16.19,11.00,-16.59
Barnet,FALSE,North West London,2024,1929,745903,518000,908071,557750,-162168,-39750,-17.86,-7.13,30.51
Bexley,FALSE,South East London,2024,238,392778,405000,439202,390000,-46424,15000,-10.57,3.85,-7.03
Brent,FALSE,North West London,2024,1474,757350,525000,747694,525000,9656,0,1.29,0.00,27.29
Bromley,FALSE,South East London,2024,351,462672,408750,433575,370000,29097,38750,6.71,10.47,5.72
Camden,TRUE,North London,2024,41,1420325,1145000,1186019,1193100,234306,-48100,19.76,-4.03,-63.06
